ID_Persona;NIVEL_DE_EDUCACION
724730011;3
724730021;3
724730031;8
724730111;4
724730121;5
724730211;5
724730221;4
724730231;6
724730241;5
724730251;3
724730261;1
724730311;5
724730321;5
724730331;5
724730341;5
724730411;5
724730421;5
724730431;5
724730711;6
724730721;6
724730911;6
724730921;6
724731011;5
724731021;6
724731031;7
724731041;8
724731111;4
724731121;6
724731131;5
724731141;5
724731112;5
724731122;5
724731211;5
724731221;8
724731241;4
724731251;3
724731261;3
724731271;5
724731411;8
724731421;8
724731711;8
724731911;3
724731921;4
724731931;6
724731941;5
724731951;3
724732011;6
724732021;6
724732031;6
724732041;7
724732051;7
724732061;8
724732211;6
724732221;5
724732231;4
724732311;3
724732321;6
724732331;5
724732341;6
724732411;5
724732421;6
724732431;5
724732441;8
724732811;5
724732821;4
724732831;5
724732841;5
724732911;6
724732921;1
724732931;8
724732941;6
724733111;4
724733121;6
724733131;6
724733211;7
724733221;7
724733231;5
724733241;3
724733311;5
724733321;6
724733331;5
724733341;4
724733511;3
724733521;3
724733531;8
724733811;3
724733821;5
724733831;4
724733911;4
724733921;5
724733931;5
724733941;5
724733951;5
724734111;6
724734121;5
724734131;5
724734211;6
724734221;5
724734231;5
724734241;6
724734251;7
724734411;4
724734421;3
724734431;3
724734441;4
724734511;4
724734521;5
724734531;4
724734541;4
724734611;5
724734711;3
724735111;5
724735121;5
724735131;6
724735141;7
724735211;8
724735221;5
724735311;5
724735321;6
724735331;5
724735411;5
724735421;5
724735431;5
724735441;5
724735511;5
724735521;6
724735531;5
724735541;3
724735611;5
724735621;5
724735612;5
724735632;8
724735711;5
724735721;8
724735731;8
724735811;8
724735821;9
724735831;8
724735841;5
724735911;3
724735921;5
724735931;6
724735941;7
724736011;8
724736021;8
724736031;6
724736041;5
724736111;4
724736121;5
724736131;5
724736311;5
724736321;5
724736331;4
724736611;3
724736621;3
724736631;3
724736711;4
724736721;5
724736731;5
724736741;6
724736751;5
724736911;4
724736921;5
724736931;5
724737111;5
724737121;4
724737141;5
724737211;5
724737221;5
724737231;5
724737251;3
724737311;4
724737321;7
724737411;5
724737421;5
724737511;6
724737521;6
724737531;4
724737541;2
724737551;1
724737611;6
724737621;5
724737711;4
724737721;4
724737731;5
724737811;5
724737841;5
724737911;3
724737921;3
724737931;4
724737941;5
724737951;4
724738011;5
724738021;5
724738031;4
724738041;4
724738211;4
724738221;4
724738311;6
724738321;5
724738331;5
724738511;5
724738521;6
724738531;6
724738611;6
724738621;8
724738631;6
724738641;5
724738811;4
724738821;5
724738911;7
724738921;5
724739011;5
724739021;5
724739031;4
724739111;3
724739121;3
724739131;3
724739211;3
724739221;3
724739231;8
724739241;8
724739311;8
724739321;6
724739331;4
